rule,results_min5_iters74.txt,results_min5_iters500.txt
FRAG --> CC ADVP NP VP,1.83403e-09,1.80545e-09
FRAG --> CC ADVP S,1.83294e-09,1.80431e-09
FRAG --> CC ADVP VP,1.83542e-09,1.80694e-09
FRAG --> CC ADVP WHNP,1.83992e-09,1.81177e-09
FRAG --> CC FRAG,0.0194969,0.0195268
FRAG --> CC NP,0.10004,0.0971686
FRAG --> CC NP ADVP,0.000495486,0.000391187
FRAG --> CC NP INTJ,1.83323e-09,1.80473e-09
FRAG --> CC NP NP,1.83542e-09,1.80685e-09
FRAG --> CC NP PP,4.62519e-05,1.8067e-09
FRAG --> CC NP VP,0.000486595,1.80686e-09
FRAG --> CC PP,0.000972265,0.000966203
FRAG --> CC S,1.83038e-09,1.80193e-09
FRAG --> CC S CC S,1.83004e-09,1.80164e-09
FRAG --> CC S INTJ,1.83004e-09,1.80168e-09
FRAG --> CC S S,1.83211e-09,1.80354e-09
FRAG --> CC S SQ,1.82979e-09,1.80141e-09
FRAG --> CC SBAR,0.0150464,0.0147228
FRAG --> CC SBARQ,1.83494e-09,1.80738e-09
FRAG --> CC SINV,1.83418e-09,1.80543e-09
FRAG --> CC SQ,0.00444137,0.00435739
FRAG --> CC VP,0.00110965,1.80673e-09
FRAG --> CC WHADVP,0.0283406,0.0279729
FRAG --> CC WHNP,0.0129237,0.0125792
FRAG --> CC WHNP ADVP,1.83277e-09,1.80435e-09
FRAG --> CC WHNP NP,1.83244e-09,1.804e-09
FRAG --> CC WHNP VP,1.83402e-09,1.80468e-09
FRAG --> COMP S,7.65275e-05,6.93873e-05
FRAG --> DT NN,0.000218119,0.000193646
FRAG --> FRAG CC FRAG,1.83908e-09,1.81028e-09
FRAG --> FRAG CC S,1.83353e-09,1.80464e-09
FRAG --> FRAG CC SBARQ,1.83195e-09,1.80172e-09
FRAG --> FRAG CC SQ,1.83548e-09,1.80671e-09
FRAG --> IN WHADVP,0.000764966,0.000753699
FRAG --> INTJ ADJP,1.83492e-09,1.80648e-09
FRAG --> INTJ ADVP,0.0270505,0.0267943
FRAG --> INTJ ADVP NP,0.0019877,0.00186798
FRAG --> INTJ ADVP PP,0.00292401,0.00297656
FRAG --> INTJ CC NP,1.83298e-09,1.80464e-09
FRAG --> INTJ CC S,1.83029e-09,1.80189e-09
