1 0.0  ADJP --> JJ JJ JJ JJ
1 0.0  ADJP --> JJ JJ JJ JJ JJ
1 0.0  ADJP --> JJ JJ JJ JJ JJ JJ
1 0.0  ADJP --> JJ JJ NN
1 0.0  ADJP --> JJ JJ PP
1 0.0  ADJP --> JJ JJ VBG
1 0.0  ADJP --> JJ NN IN
1 0.0  ADJP --> JJ NNS
1 0.0  ADJP --> JJ NOT S
1 0.0  ADJP --> JJ NP VP
1 0.0  ADJP --> JJ PP ADVP
1 0.0  ADJP --> JJ PP CC NOT
1 0.0  ADJP --> JJ PP NP
1 0.0  ADJP --> JJ PP S
1 0.0  ADJP --> JJ PP SBAR
1 0.0  ADJP --> JJ RB PP
1 0.0  ADJP --> JJ RB S ADVP
1 0.0  ADJP --> JJ RB SBAR
1 0.0  ADJP --> JJ RB VB
1 0.0  ADJP --> JJ SBAR SBAR
1 0.0  ADJP --> JJ VBD
1 0.0  ADJP --> JJ WHPP
1 0.0  ADJP --> JJR ADVP SBAR
1 0.0  ADJP --> JJR CC JJR CC JJ
1 0.0  ADJP --> JJR CC JJR CC JJR
1 0.0  ADJP --> JJR CC JJR CC JJR CC JJR
1 0.0  ADJP --> JJR IN
1 0.0  ADJP --> JJR JJR CC JJR
1 0.0  ADJP --> NN CC NN
1 0.0  ADJP --> NN IN JJ
1 0.0  ADJP --> NN NN
1 0.0  ADJP --> NN S
1 0.0  ADJP --> NN VBG
1 0.0  ADJP --> NN VBN
1 0.0  ADJP --> NNP INTJ
1 0.0  ADJP --> NNS JJ
1 0.0  ADJP --> NOT
1 0.0  ADJP --> NOT ADJP
1 0.0  ADJP --> NOT ADJP CC ADJP
1 0.0  ADJP --> NOT JJR
1 0.0  ADJP --> NOT NOT JJ
1 0.0  ADJP --> NOT NP
1 0.0  ADJP --> NOT RB RB JJ
1 0.0  ADJP --> NOT VBG
1 0.0  ADJP --> NP ADJP PP
1 0.0  ADJP --> NP CC NP
1 0.0  ADJP --> NP JJ CC JJ
1 0.0  ADJP --> NP JJ RP
1 0.0  ADJP --> NP JJR PP
1 0.0  ADJP --> NP NNS
1 0.0  ADJP --> NP PP
1 0.0  ADJP --> NP RBR
1 0.0  ADJP --> NP RBR JJ PP
1 0.0  ADJP --> NP VBN RP
1 0.0  ADJP --> PRP$
1 0.0  ADJP --> RB CC
1 0.0  ADJP --> RB DT
1 0.0  ADJP --> RB DT JJ JJ
1 0.0  ADJP --> RB JJ ADVP
1 0.0  ADJP --> RB JJ IN
1 0.0  ADJP --> RB JJ NN
1 0.0  ADJP --> RB JJ NN NNS
1 0.0  ADJP --> RB JJ PP NP
1 0.0  ADJP --> RB JJ PP SBAR
1 0.0  ADJP --> RB JJ PRT
1 0.0  ADJP --> RB JJ RP
1 0.0  ADJP --> RB JJR S
1 0.0  ADJP --> RB JJS
1 0.0  ADJP --> RB NN
1 0.0  ADJP --> RB NN NN
1 0.0  ADJP --> RB NP ADJP
1 0.0  ADJP --> RB RB JJ S
1 0.0  ADJP --> RB RB VBN ADVP
1 0.0  ADJP --> RB SBAR
1 0.0  ADJP --> RB VB
1 0.0  ADJP --> RB VBN PP PP
1 0.0  ADJP --> RB VBN PRT
1 0.0  ADJP --> RB VBN PRT PP
1 0.0  ADJP --> RBR JJ S
1 0.0  ADJP --> RBS JJ S
1 0.0  ADJP --> RP
1 0.0  ADJP --> VB PP
1 0.0  ADJP --> VBG IN
1 0.0  ADJP --> VP CC ADJP
1 0.0  ADJP --> WRB
25870 0.0  ADVP --> RB
3254 0.0  ADVP --> RB RB
283 0.0  ADVP --> NN
209 0.0  ADVP --> RBR
172 0.0  ADVP --> RB PP
153 0.0  ADVP --> NN IN
132 0.0  ADVP --> DT NN
118 0.0  ADVP --> RB CC RB
107 0.0  ADVP --> RB RB RB
103 0.0  ADVP --> RB RBR
84 0.0  ADVP --> JJ NN
80 0.0  ADVP --> NOT RB
79 0.0  ADVP --> NP RB
46 0.0  ADVP --> ADVP SBAR
38 0.0  ADVP --> DT JJ
38 0.0  ADVP --> DT JJ NN
36 0.0  ADVP --> IN RB
36 0.0  ADVP --> RP
35 0.0  ADVP --> RB JJ
32 0.0  ADVP --> NNP
27 0.0  ADVP --> RB NP
26 0.0  ADVP --> JJ
25 0.0  ADVP --> PDT DT NN
25 0.0  ADVP --> PRP
21 0.0  ADVP --> ADVP CC ADVP
21 0.0  ADVP --> RBS
18 0.0  ADVP --> DT RBR
17 0.0  ADVP --> ADVP PP
15 0.0  ADVP --> NN PP
15 0.0  ADVP --> NOT RB RB
14 0.0  ADVP --> IN JJS
13 0.0  ADVP --> RB RB PP
13 0.0  ADVP --> RP RB
12 0.0  ADVP --> DT JJ RBR
12 0.0  ADVP --> DT RB
12 0.0  ADVP --> NP RBR
12 0.0  ADVP --> NP SBAR
12 0.0  ADVP --> RB SBAR
11 0.0  ADVP --> EX
11 0.0  ADVP --> IN
11 0.0  ADVP --> RB IN
11 0.0  ADVP --> RB NN
11 0.0  ADVP --> RB RB SBAR
11 0.0  ADVP --> UH
9 0.0  ADVP --> CD NN
9 0.0  ADVP --> RBR PP
8 0.0  ADVP --> DT
8 0.0  ADVP --> NP ADVP
8 0.0  ADVP --> RBR RB
7 0.0  ADVP --> IN CC IN
7 0.0  ADVP --> IN NP
7 0.0  ADVP --> NN NN
7 0.0  ADVP --> RB RBS
6 0.0  ADVP --> IN DT
6 0.0  ADVP --> RB ADJP
6 0.0  ADVP --> RB S
5 0.0  ADVP --> DT JJR
5 0.0  ADVP --> DT NN PP
5 0.0  ADVP --> JJ RB
5 0.0  ADVP --> RB IN NP
5 0.0  ADVP --> RB PRT
5 0.0  ADVP --> RB RB CC RB
5 0.0  ADVP --> RB VBN
4 0.0  ADVP --> ADVP RB
4 0.0  ADVP --> DT NN RB
4 0.0  ADVP --> RB ADVP
4 0.0  ADVP --> RB CD
4 0.0  ADVP --> RB DT NN
4 0.0  ADVP --> RB NP RB
4 0.0  ADVP --> RB RB RB RB
4 0.0  ADVP --> RB RP RB
4 0.0  ADVP --> WRB
3 0.0  ADVP --> ADVP CC PP
3 0.0  ADVP --> DT NN NN
3 0.0  ADVP --> JJ PP
3 0.0  ADVP --> JJR
3 0.0  ADVP --> JJS PP
3 0.0  ADVP --> NNP NN
3 0.0  ADVP --> NOT
3 0.0  ADVP --> NP
3 0.0  ADVP --> NP RB RB
3 0.0  ADVP --> PRP RB
3 0.0  ADVP --> RB NOT
3 0.0  ADVP --> RB NP VP
3 0.0  ADVP --> RB VBG
3 0.0  ADVP --> RP PP
2 0.0  ADVP --> ADVP ADVP
2 0.0  ADVP --> ADVP NP
2 0.0  ADVP --> CC
2 0.0  ADVP --> CD JJR NN
2 0.0  ADVP --> CD NNS
2 0.0  ADVP --> DT JJ NN PP
2 0.0  ADVP --> DT JJ NNS
2 0.0  ADVP --> DT JJ RB
2 0.0  ADVP --> DT NN RBR
2 0.0  ADVP --> DT RBS
2 0.0  ADVP --> JJ NNP
2 0.0  ADVP --> NNS
2 0.0  ADVP --> NOT NN
2 0.0  ADVP --> NP CC NP NNS PP
2 0.0  ADVP --> NP RB PP
2 0.0  ADVP --> PRP$ JJ NN
2 0.0  ADVP --> RB CC RB CC RB
2 0.0  ADVP --> RB IN RB
2 0.0  ADVP --> RB PRP
2 0.0  ADVP --> RB RB JJ
2 0.0  ADVP --> RB RP
2 0.0  ADVP --> RB VB
2 0.0  ADVP --> RB VP
2 0.0  ADVP --> RBR CC RBR
2 0.0  ADVP --> RBR IN
2 0.0  ADVP --> VB JJ
1 0.0  ADVP --> ADJP CC ADVP
1 0.0  ADVP --> ADVP ADVP ADVP
1 0.0  ADVP --> ADVP JJ PP
1 0.0  ADVP --> ADVP JJR RB
1 0.0  ADVP --> ADVP NP RB
1 0.0  ADVP --> ADVP RBR PP
1 0.0  ADVP --> ADVP RBR RB
1 0.0  ADVP --> ADVP S
1 0.0  ADVP --> CD NNS DT NN
1 0.0  ADVP --> CD NNS PP
1 0.0  ADVP --> CD NNS RB
1 0.0  ADVP --> CD PP
1 0.0  ADVP --> DT ADJP NN
1 0.0  ADVP --> DT DT NN
1 0.0  ADVP --> DT IN
1 0.0  ADVP --> DT IN RB
1 0.0  ADVP --> DT JJ JJ NN RB
1 0.0  ADVP --> DT JJ RB RB
1 0.0  ADVP --> DT JJR PP
1 0.0  ADVP --> DT JJS
1 0.0  ADVP --> DT NNP DT CD
1 0.0  ADVP --> DT NNS
1 0.0  ADVP --> DT PP
1 0.0  ADVP --> DT PRP$ NN
1 0.0  ADVP --> DT RB CC RB
1 0.0  ADVP --> DT RB JJR
1 0.0  ADVP --> DT RB RBR RB
1 0.0  ADVP --> DT VBG NN
1 0.0  ADVP --> EX NP VP
1 0.0  ADVP --> IN JJS VP
1 0.0  ADVP --> IN PP
1 0.0  ADVP --> JJ CC JJ
1 0.0  ADVP --> JJ CD PP
1 0.0  ADVP --> JJ IN
1 0.0  ADVP --> JJ JJ
1 0.0  ADVP --> JJ NN IN
1 0.0  ADVP --> JJ NN RB
1 0.0  ADVP --> JJ NP
1 0.0  ADVP --> JJ RBR
1 0.0  ADVP --> JJ S
1 0.0  ADVP --> JJR PP
1 0.0  ADVP --> JJR RB
1 0.0  ADVP --> NN ADVP
1 0.0  ADVP --> NN RB
1 0.0  ADVP --> NNP CD NN
1 0.0  ADVP --> NNP PP
1 0.0  ADVP --> NNS RB
1 0.0  ADVP --> NOT JJ NNS
1 0.0  ADVP --> NOT NP
1 0.0  ADVP --> NOT PP RB
1 0.0  ADVP --> NOT RB NP
1 0.0  ADVP --> NOT RB SBAR
1 0.0  ADVP --> NOT RBR
1 0.0  ADVP --> NOT VB S
1 0.0  ADVP --> NP CC ADVP
1 0.0  ADVP --> NP IN
1 0.0  ADVP --> NP RBR RB
1 0.0  ADVP --> PDT DT JJ NNS
1 0.0  ADVP --> PDT DT NN PP PP
1 0.0  ADVP --> PP
1 0.0  ADVP --> PP CC ADVP
1 0.0  ADVP --> RB CC NNP
1 0.0  ADVP --> RB COMP
1 0.0  ADVP --> RB COMP S
1 0.0  ADVP --> RB DT
1 0.0  ADVP --> RB EX
1 0.0  ADVP --> RB IN DT
1 0.0  ADVP --> RB IN JJ
1 0.0  ADVP --> RB INTJ
1 0.0  ADVP --> RB JJ PP
1 0.0  ADVP --> RB JJ RB
1 0.0  ADVP --> RB NN DT NN PP
1 0.0  ADVP --> RB NNS
1 0.0  ADVP --> RB NOT RB
1 0.0  ADVP --> RB NP PP
1 0.0  ADVP --> RB PP ADVP
1 0.0  ADVP --> RB PP CC VP
1 0.0  ADVP --> RB PP PP
1 0.0  ADVP --> RB RB IN
1 0.0  ADVP --> RB RB NN
1 0.0  ADVP --> RB RB NOT
1 0.0  ADVP --> RB RB RB CC RB CC RB CC RB RB
1 0.0  ADVP --> RB RB RB RB RB
1 0.0  ADVP --> RB RB RB RB RB RB
1 0.0  ADVP --> RB RB RB RB RBR CC RBR RBR RBR
1 0.0  ADVP --> RB RB RBR
1 0.0  ADVP --> RB RB S
1 0.0  ADVP --> RB RB VP
1 0.0  ADVP --> RB TO RB
1 0.0  ADVP --> RB VB S
1 0.0  ADVP --> RB VBD VP
1 0.0  ADVP --> RB WHNP SQ
1 0.0  ADVP --> RB WHPP
1 0.0  ADVP --> RB WRB
1 0.0  ADVP --> RBR NN
1 0.0  ADVP --> RBR NOT
1 0.0  ADVP --> RBR NP
1 0.0  ADVP --> RBR RBR
1 0.0  ADVP --> RBR SBAR
1 0.0  ADVP --> RBS RB
1 0.0  ADVP --> RP CC RP
1 0.0  ADVP --> RP CC RP CC RP
1 0.0  ADVP --> SBAR
1 0.0  ADVP --> VB
1 0.0  ADVP --> VB PRT
1 0.0  ADVP --> VB RP
247 0.0  AUX --> VB PRS
32 0.0  AUX --> VB ASP
2 0.0  CONJP --> RB IN
2 0.0  CONJP --> RB RB
1 0.0  CONJP --> CC
1 0.0  CONJP --> CC IN
84 0.0  COP --> VB ASP
11422 0.0  FRAG --> NP
5338 0.0  FRAG --> VP
5004 0.0  FRAG --> NP VP
3471 0.0  FRAG --> WHNP
2450 0.0  FRAG --> PP
2349 0.0  FRAG --> ADJP
1996 0.0  FRAG --> ADVP
1464 0.0  FRAG --> SBAR
1400 0.0  FRAG --> CC S
1243 0.0  FRAG --> INTJ
1025 0.0  FRAG --> WHADVP
659 0.0  FRAG --> CC SBARQ
635 0.0  FRAG --> INTJ NP
477 0.0  FRAG --> CC NP
397 0.0  FRAG --> NP PP
390 0.0  FRAG --> NP NP
325 0.0  FRAG --> NP ADVP
298 0.0  FRAG --> CC NP VP
289 0.0  FRAG --> NP INTJ
263 0.0  FRAG --> ADVP NP
262 0.0  FRAG --> NP ADJP
222 0.0  FRAG --> INTJ INTJ
189 0.0  FRAG --> WHADVP SQ
187 0.0  FRAG --> WHNP NP
186 0.0  FRAG --> CC WHNP
175 0.0  FRAG --> NP WHNP
164 0.0  FRAG --> WHNP SQ
156 0.0  FRAG --> CC SQ
154 0.0  FRAG --> WHPP
149 0.0  FRAG --> WHNP VP
142 0.0  FRAG --> ADVP VP
137 0.0  FRAG --> WHADVP NP
134 0.0  FRAG --> S CC FRAG
133 0.0  FRAG --> NOT NP
131 0.0  FRAG --> ADVP NP VP
129 0.0  FRAG --> INTJ NP VP
127 0.0  FRAG --> CC VP
120 0.0  FRAG --> ADVP PP
120 0.0  FRAG --> INTJ VP
119 0.0  FRAG --> WHADVP VP
111 0.0  FRAG --> WHADVP NOT
107 0.0  FRAG --> INTJ ADVP
101 0.0  FRAG --> CC
100 0.0  FRAG --> S
91 0.0  FRAG --> INTJ ADJP
88 0.0  FRAG --> NP NP NP
83 0.0  FRAG --> INTJ PP
82 0.0  FRAG --> S CC
78 0.0  FRAG --> CC FRAG
74 0.0  FRAG --> NOT PP
74 0.0  FRAG --> PP PP
72 0.0  FRAG --> NP ADVP VP
69 0.0  FRAG --> FRAG CC S
68 0.0  FRAG --> NN
61 0.0  FRAG --> ADVP SBAR
61 0.0  FRAG --> VP INTJ
58 0.0  FRAG --> NOT ADVP
58 0.0  FRAG --> WHNP ADVP
57 0.0  FRAG --> ADVP ADVP
57 0.0  FRAG --> WHNP PP
55 0.0  FRAG --> INTJ SBAR
55 0.0  FRAG --> WHADVP NP VP
49 0.0  FRAG --> PP INTJ
48 0.0  FRAG --> SBAR NP VP
47 0.0  FRAG --> ADVP WHNP
43 0.0  FRAG --> CC ADVP
43 0.0  FRAG --> NP NP VP
41 0.0  FRAG --> NP CC NP
38 0.0  FRAG --> NP NP NP NP
38 0.0  FRAG --> NP SBAR
37 0.0  FRAG --> CC ADVP NP VP
37 0.0  FRAG --> CC SINV
36 0.0  FRAG --> CC PP
34 0.0  FRAG --> CC SBAR
34 0.0  FRAG --> CC WHNP ADVP
34 0.0  FRAG --> VP NP
31 0.0  FRAG --> WHADVP PP
30 0.0  FRAG --> INTJ WHNP
29 0.0  FRAG --> ADJP ADVP
29 0.0  FRAG --> ADJP INTJ
29 0.0  FRAG --> ADJP NP
29 0.0  FRAG --> VP VP
28 0.0  FRAG --> NOT ADJP
27 0.0  FRAG --> ADVP ADJP
27 0.0  FRAG --> PP ADVP
27 0.0  FRAG --> WHADVP S
26 0.0  FRAG --> ADJP PP
25 0.0  FRAG --> ADJP ADJP
25 0.0  FRAG --> CC S INTJ
25 0.0  FRAG --> WHNP NP VP
24 0.0  FRAG --> CC S CC S
24 0.0  FRAG --> WHNP S
23 0.0  FRAG --> DT NN
22 0.0  FRAG --> ADVP INTJ
22 0.0  FRAG --> INTJ NP INTJ
22 0.0  FRAG --> NNP
22 0.0  FRAG --> SBAR INTJ
21 0.0  FRAG --> NP NP NP NP NP
21 0.0  FRAG --> PP NP VP
20 0.0  FRAG --> CC NP ADVP
20 0.0  FRAG --> INTJ WHADVP
20 0.0  FRAG --> SBAR VP
19 0.0  FRAG --> FRAG CC FRAG
18 0.0  FRAG --> DT
18 0.0  FRAG --> INTJ CC S
18 0.0  FRAG --> WHADJP
18 0.0  FRAG --> WRB
17 0.0  FRAG --> NP S
17 0.0  FRAG --> UH
16 0.0  FRAG --> CC ADJP
16 0.0  FRAG --> INTJ NP ADVP
16 0.0  FRAG --> INTJ NP NP
16 0.0  FRAG --> NP CC
16 0.0  FRAG --> NP VP INTJ
16 0.0  FRAG --> PP NP
15 0.0  FRAG --> INTJ CC NP
15 0.0  FRAG --> INTJ CC SBARQ
15 0.0  FRAG --> S CC S
14 0.0  FRAG --> NP NP PP
14 0.0  FRAG --> NP VP VP
14 0.0  FRAG --> WHNP FRAG
14 0.0  FRAG --> WHNP SBAR
13 0.0  FRAG --> CC WHADVP
13 0.0  FRAG --> INTJ INTJ INTJ
13 0.0  FRAG --> NNS
12 0.0  FRAG --> CC ADVP WHNP
12 0.0  FRAG --> CC NP NP
12 0.0  FRAG --> FRAG CC SBARQ
12 0.0  FRAG --> NOT VP
12 0.0  FRAG --> NP ADJP ADVP
12 0.0  FRAG --> NP VP NP
11 0.0  FRAG --> CC ADVP VP
11 0.0  FRAG --> CC S CC FRAG
11 0.0  FRAG --> INTJ ADVP NP
11 0.0  FRAG --> NP CC WHNP
11 0.0  FRAG --> RB NP
11 0.0  FRAG --> RB PP
11 0.0  FRAG --> SBARQ
10 0.0  FRAG --> ADJP S
10 0.0  FRAG --> ADJP SBAR
10 0.0  FRAG --> ADVP S
10 0.0  FRAG --> CC NP INTJ
10 0.0  FRAG --> CC NP PP
10 0.0  FRAG --> COMP
10 0.0  FRAG --> INTJ PP PP
10 0.0  FRAG --> NOT
10 0.0  FRAG --> NOT SBAR
10 0.0  FRAG --> NP NP NP NP NP NP
10 0.0  FRAG --> NP PP PP
10 0.0  FRAG --> NP VP ADVP
10 0.0  FRAG --> PP SBAR
10 0.0  FRAG --> WHADVP FRAG
9 0.0  FRAG --> ADVP PP PP
9 0.0  FRAG --> INTJ INTJ NP
9 0.0  FRAG --> INTJ S
9 0.0  FRAG --> JJ
9 0.0  FRAG --> NP ADVP PP
9 0.0  FRAG --> NP CC S
9 0.0  FRAG --> NP PP INTJ
9 0.0  FRAG --> NP PRT
9 0.0  FRAG --> SQ CC FRAG
9 0.0  FRAG --> WHADVP ADVP
8 0.0  FRAG --> ADJP VP
8 0.0  FRAG --> ADVP VP NP
8 0.0  FRAG --> CC ADVP NP
8 0.0  FRAG --> INTJ FRAG
8 0.0  FRAG --> INTJ NP PP
8 0.0  FRAG --> INTJ SBARQ
8 0.0  FRAG --> NP VP SBAR
8 0.0  FRAG --> PP VP
8 0.0  FRAG --> PRT
